# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
3.000000000000000000e+00 9.344896231744437287e-02 1.990544161149682356e+00 2.110320470925071135e+00
2.999700070007000452e+00 9.344339459000305936e-02 1.990516077664241434e+00 2.110306461984833959e+00
2.999400140014001348e+00 9.343782637581704575e-02 1.990488042387815959e+00 2.110292452233199612e+00
2.999100210021001800e+00 9.343225767468618659e-02 1.990460055284750451e+00 2.110278441669407812e+00
2.998800280028002696e+00 9.342668848641033641e-02 1.990432116319410527e+00 2.110264430292630777e+00
2.998500350035003148e+00 9.342111881078918323e-02 1.990404225456185339e+00 2.110250418102079806e+00
2.998200420042004044e+00 9.341554864762231791e-02 1.990376382659482468e+00 2.110236405096948431e+00
2.997900490049004496e+00 9.340997799670926194e-02 1.990348587893731258e+00 2.110222391276412424e+00
2.997600560056005392e+00 9.340440685784939800e-02 1.990320841123383699e+00 2.110208376639675976e+00
2.997300630063005844e+00 9.339883523084201167e-02 1.990293142312912877e+00 2.110194361185950385e+00
2.997000700070006740e+00 9.339326311548631909e-02 1.990265491426811417e+00 2.110180344914407868e+00
2.996700770077007636e+00 9.338769051158141155e-02 1.990237888429592372e+00 2.110166327824249066e+00
2.996400840084008088e+00 9.338211741892625539e-02 1.990210333285794553e+00 2.110152309914671065e+00
2.996100910091008984e+00 9.337654383731974761e-02 1.990182825959972757e+00 2.110138291184895820e+00
2.995800980098009436e+00 9.337096976656066027e-02 1.990155366416703764e+00 2.110124271634063575e+00
2.995501050105010332e+00 9.336539520644769607e-02 1.990127954620590112e+00 2.110110251261403391e+00
2.995201120112010784e+00 9.335982015677941892e-02 1.990100590536249436e+00 2.110096230066112355e+00
2.994901190119011680e+00 9.335424461735429558e-02 1.990073274128323577e+00 2.110082208047394658e+00
2.994601260126012132e+00 9.334866858797070954e-02 1.990046005361475467e+00 2.110068185204401203e+00
2.994301330133013028e+00 9.334309206842693329e-02 1.990018784200388469e+00 2.110054161536371709e+00
2.994001400140013924e+00 9.333751505852111441e-02 1.989991610609764594e+00 2.110040137042481945e+00
2.993701470147014376e+00 9.333193755805133107e-02 1.989964484554332724e+00 2.110026111721939657e+00
2.993401540154015272e+00 9.332635956681555045e-02 1.989937405998836839e+00 2.110012085573920615e+00
2.993101610161015724e+00 9.332078108461160093e-02 1.989910374908045565e+00 2.109998058597604143e+00
2.992801680168016620e+00 9.331520211123726927e-02 1.989883391246746625e+00 2.109984030792237064e+00
2.992501750175017072e+00 9.330962264649018956e-02 1.989856454979750611e+00 2.109970002156977387e+00
2.992201820182017968e+00 9.330404269016791263e-02 1.989829566071887212e+00 2.109955972691029302e+00
2.991901890189018420e+00 9.329846224206787830e-02 1.989802724488007879e+00 2.109941942393586345e+00
2.991601960196019316e+00 9.329288130198742923e-02 1.989775930192984044e+00 2.109927911263842049e+00
2.991302030203020212e+00 9.328729986972382482e-02 1.989749183151711565e+00 2.109913879301004158e+00
2.991002100210020664e+00 9.328171794507415793e-02 1.989722483329102509e+00 2.109899846504227128e+00
2.990702170217021560e+00 9.327613552783550754e-02 1.989695830690092704e+00 2.109885812872764888e+00
2.990402240224022012e+00 9.327055261780475837e-02 1.989669225199637959e+00 2.109871778405764786e+00
2.990102310231022908e+00 9.326496921477876734e-02 1.989642666822715622e+00 2.109857743102434569e+00
2.989802380238023360e+00 9.325938531855422486e-02 1.989616155524323249e+00 2.109843706961981979e+00
2.989502450245024257e+00 9.325380092892777972e-02 1.989589691269481930e+00 2.109829669983568579e+00
2.989202520252025153e+00 9.324821604569594191e-02 1.989563274023227635e+00 2.109815632166437638e+00
2.988902590259025605e+00 9.324263066865509653e-02 1.989536903750623642e+00 2.109801593509736506e+00
2.988602660266026501e+00 9.323704479760157315e-02 1.989510580416749219e+00 2.109787554012690691e+00
2.988302730273026953e+00 9.323145843233154872e-02 1.989484303986709390e+00 2.109773513674490175e+00
2.988002800280027849e+00 9.322587157264115854e-02 1.989458074425622947e+00 2.109759472494300070e+00
2.987702870287028301e+00 9.322028421832635747e-02 1.989431891698637322e+00 2.109745430471352989e+00
2.987402940294029197e+00 9.321469636918308654e-02 1.989405755770915274e+00 2.109731387604824704e+00
2.987103010301029649e+00 9.320910802500707859e-02 1.989379666607645092e+00 2.109717343893912300e+00
2.986803080308030545e+00 9.320351918559405258e-02 1.989353624174028168e+00 2.109703299337812865e+00
2.986503150315031441e+00 9.319792985073958869e-02 1.989327628435298090e+00 2.109689253935712827e+00
2.986203220322031893e+00 9.319234002023912833e-02 1.989301679356696440e+00 2.109675207686798615e+00
2.985903290329032789e+00 9.318674969388808516e-02 1.989275776903495663e+00 2.109661160590299289e+00
2.985603360336033241e+00 9.318115887148169241e-02 1.989249921040982860e+00 2.109647112645369305e+00
2.985303430343034137e+00 9.317556755281512781e-02 1.989224111734467559e+00 2.109633063851223511e+00
2.985003500350034589e+00 9.316997573768344421e-02 1.989198348949282602e+00 2.109619014207062548e+00
2.984703570357035485e+00 9.316438342588161114e-02 1.989172632650778372e+00 2.109604963712062187e+00
2.984403640364035937e+00 9.315879061720444554e-02 1.989146962804327678e+00 2.109590912365415960e+00
2.984103710371036833e+00 9.315319731144673654e-02 1.989121339375322428e+00 2.109576860166338719e+00
2.983803780378037729e+00 9.314760350840309289e-02 1.989095762329177397e+00 2.109562807114002680e+00
2.983503850385038181e+00 9.314200920786805393e-02 1.989070231631326013e+00 2.109548753207604932e+00
2.983203920392039077e+00 9.313641440963606188e-02 1.989044747247222800e+00 2.109534698446360323e+00
2.982903990399039529e+00 9.313081911350143405e-02 1.989019309142342706e+00 2.109520642829441073e+00
2.982604060406040425e+00 9.312522331925840446e-02 1.988993917282181556e+00 2.109506586356044266e+00
2.982304130413040877e+00 9.311962702670108227e-02 1.988968571632258708e+00 2.109492529025374097e+00
2.982004200420041773e+00 9.311403023562347947e-02 1.988943272158108844e+00 2.109478470836613440e+00
2.981704270427042225e+00 9.310843294581951091e-02 1.988918018825293288e+00 2.109464411788962934e+00
2.981404340434043121e+00 9.310283515708298041e-02 1.988892811599387134e+00 2.109450351881612562e+00
2.981104410441044017e+00 9.309723686920758079e-02 1.988867650445990565e+00 2.109436291113734541e+00
2.980804480448044469e+00 9.309163808198690770e-02 1.988842535330722638e+00 2.109422229484582800e+00
2.980504550455045365e+00 9.308603879521445967e-02 1.988817466219226171e+00 2.109408166993283373e+00
2.980204620462045817e+00 9.308043900868359644e-02 1.988792443077157746e+00 2.109394103639083085e+00
2.979904690469046713e+00 9.307483872218762222e-02 1.988767465870204365e+00 2.109380039421125730e+00
2.979604760476047165e+00 9.306923793551970248e-02 1.988742534564061692e+00 2.109365974338647476e+00
2.979304830483048061e+00 9.306363664847290551e-02 1.988717649124456033e+00 2.109351908390820540e+00
2.979004900490048957e+00 9.305803486084018861e-02 1.988692809517128790e+00 2.109337841576831352e+00
2.978704970497049409e+00 9.305243257241441190e-02 1.988668015707844461e+00 2.109323773895901866e+00
2.978405040504050305e+00 9.304682978298833840e-02 1.988643267662385083e+00 2.109309705347214958e+00
2.978105110511050757e+00 9.304122649235460618e-02 1.988618565346557787e+00 2.109295635929942847e+00
2.977805180518051653e+00 9.303562270030575621e-02 1.988593908726185910e+00 2.109281565643296830e+00
2.977505250525052105e+00 9.303001840663423228e-02 1.988569297767114552e+00 2.109267494486477545e+00
2.977205320532053001e+00 9.302441361113235330e-02 1.988544732435208573e+00 2.109253422458667870e+00
2.976905390539053453e+00 9.301880831359236879e-02 1.988520212696355483e+00 2.109239349559040022e+00
2.976605460546054349e+00 9.301320251380637560e-02 1.988495738516462552e+00 2.109225275786833720e+00
2.976305530553055245e+00 9.300759621156640122e-02 1.988471309861455483e+00 2.109211201141217629e+00
2.976005600560055697e+00 9.300198940666434821e-02 1.988446926697278849e+00 2.109197125621367519e+00
