# z	phi_prime_sq	E2	dE2_dz
1.000000000000000021e-03 -1.797400009859887460e-01 1.000711541847492558e+00 7.127351295881227955e-01
1.599919983996799400e-03 -1.791951276632812173e-01 1.001139555388766977e+00 7.141669831328145701e-01
2.199839967993598780e-03 -1.786516650442018517e-01 1.001568427957909124e+00 7.155989378519567179e-01
2.799759951990398159e-03 -1.781096100162145313e-01 1.001998159615832051e+00 7.170309944668533664e-01
3.399679935987197539e-03 -1.775689594722542619e-01 1.002428750423880910e+00 7.184631536979074751e-01
3.999599919983996485e-03 -1.770297103107186243e-01 1.002860200443833616e+00 7.198954162646218347e-01
4.599519903980796298e-03 -1.764918594354605297e-01 1.003292509737898852e+00 7.213277828856018425e-01
5.199439887977595244e-03 -1.759554037557807815e-01 1.003725678368715624e+00 7.227602542785549478e-01
5.799359871974395057e-03 -1.754203401864199707e-01 1.004159706399354368e+00 7.241928311602925383e-01
6.399279855971194871e-03 -1.748866656475513148e-01 1.004594593893314514e+00 7.256255142467311625e-01
6.999199839967993816e-03 -1.743543770647733859e-01 1.005030340914524700e+00 7.270583042528927509e-01
7.599119823964792762e-03 -1.738234713691021449e-01 1.005466947527342558e+00 7.284912018929066146e-01
8.199039807961591708e-03 -1.732939454969635584e-01 1.005904413796554042e+00 7.299242078800094458e-01
8.798959791958393256e-03 -1.727657963901866600e-01 1.006342739787372098e+00 7.313573229265479814e-01
9.398879775955191335e-03 -1.722390209959952234e-01 1.006781925565437330e+00 7.327905477439786708e-01
9.998799759951989413e-03 -1.717136162670011568e-01 1.007221971196816668e+00 7.342238830428694518e-01
1.059871974394879096e-02 -1.711895791611971751e-01 1.007662876748002923e+00 7.356573295329005280e-01
1.119863972794558904e-02 -1.706669066419488623e-01 1.008104642285914565e+00 7.370908879228648125e-01
1.179855971194239059e-02 -1.701455956779877876e-01 1.008547267877895059e+00 7.385245589206711481e-01
1.239847969593918867e-02 -1.696256432434038453e-01 1.008990753591712419e+00 7.399583432333423083e-01
1.299839967993598674e-02 -1.691070463176386485e-01 1.009435099495557875e+00 7.413922415670186616e-01
1.359831966393278829e-02 -1.685898018854771474e-01 1.009880305658047206e+00 7.428262546269586153e-01
1.419823964792958637e-02 -1.680739069370421335e-01 1.010326372148217633e+00 7.442603831175376161e-01
1.479815963192638445e-02 -1.675593584677851078e-01 1.010773299035529593e+00 7.456946277422519254e-01
1.539807961592318600e-02 -1.670461534784805635e-01 1.011221086389864965e+00 7.471289892037189517e-01
1.599799959991998408e-02 -1.665342889752177147e-01 1.011669734281527289e+00 7.485634682036774734e-01
1.659791958391678562e-02 -1.660237619693942235e-01 1.012119242781240436e+00 7.499980654429891924e-01
1.719783956791358370e-02 -1.655145694777089282e-01 1.012569611960148386e+00 7.514327816216397338e-01
1.779775955191038178e-02 -1.650067085221540719e-01 1.013020841889815227e+00 7.528676174387404219e-01
1.839767953590718333e-02 -1.645001761300089183e-01 1.013472932642223601e+00 7.543025735925279474e-01
1.899759951990398141e-02 -1.639949693338328407e-01 1.013925884289775370e+00 7.557376507803661436e-01
1.959751950390078296e-02 -1.634910851714570790e-01 1.014379696905290507e+00 7.571728496987477630e-01
2.019743948789758103e-02 -1.629885206859796598e-01 1.014834370562005761e+00 7.586081710432932557e-01
2.079735947189437911e-02 -1.624872729257563486e-01 1.015289905333575549e+00 7.600436155087548773e-01
2.139727945589118066e-02 -1.619873389443951817e-01 1.015746301294071063e+00 7.614791837890155790e-01
2.199719943988797874e-02 -1.614887158007485002e-01 1.016203558517978944e+00 7.629148765770908946e-01
2.259711942388478029e-02 -1.609914005589070107e-01 1.016661677080201720e+00 7.643506945651291629e-01
2.319703940788157837e-02 -1.604953902881919581e-01 1.017120657056056698e+00 7.657866384444137475e-01
2.379695939187837644e-02 -1.600006820631486026e-01 1.017580498521275745e+00 7.672227089053633708e-01
2.439687937587517799e-02 -1.595072729635391706e-01 1.018041201552004615e+00 7.686589066375331125e-01
2.499679935987197607e-02 -1.590151600743365534e-01 1.018502766224802514e+00 7.700952323296158530e-01
2.559671934386877415e-02 -1.585243404857167027e-01 1.018965192616641202e+00 7.715316866694431619e-01
2.619663932786557570e-02 -1.580348112930520799e-01 1.019428480804905446e+00 7.729682703439854086e-01
2.679655931186237378e-02 -1.575465695969051616e-01 1.019892630867391681e+00 7.744049840393540940e-01
2.739647929585917185e-02 -1.570596125030212509e-01 1.020357642882306903e+00 7.758418284408030718e-01
2.799639927985597340e-02 -1.565739371223217324e-01 1.020823516928270669e+00 7.772788042327277713e-01
2.859631926385277148e-02 -1.560895405708975225e-01 1.021290253084310873e+00 7.787159120986683059e-01
2.919623924784957303e-02 -1.556064199700022688e-01 1.021757851429866859e+00 7.801531527213091399e-01
2.979615923184637111e-02 -1.551245724460454389e-01 1.022226312044786312e+00 7.815905267824803104e-01
3.039607921584316919e-02 -1.546439951305859650e-01 1.022695635009325921e+00 7.830280349631593140e-01
3.099599919983997073e-02 -1.541646851603249990e-01 1.023165820404150939e+00 7.844656779434709959e-01
3.159591918383676534e-02 -1.536866396771000010e-01 1.023636868310334069e+00 7.859034564026894376e-01
3.219583916783357036e-02 -1.532098558278773281e-01 1.024108778809355025e+00 7.873413710192378456e-01
3.279575915183036844e-02 -1.527343307647462123e-01 1.024581551983100969e+00 7.887794224706912161e-01
3.339567913582716652e-02 -1.522600616449114319e-01 1.025055187913864962e+00 7.902176114337762236e-01
3.399559911982396460e-02 -1.517870456306875671e-01 1.025529686684345521e+00 7.916559385843724428e-01
