# phi[M_Pl]	V[H0^2*Mpl^2]	V[GeV^4]	V[eV^4]
0.000000000000000000e+00 1.990544161149682356e+00 5.902364036327250854e-43 5.902364036327251394e-07
1.228375564821249100e-06 1.990516077664241434e+00 5.902280763141096608e-43 5.902280763141096423e-07
2.843934902810318910e-06 1.990488042387815959e+00 5.902197632904373934e-43 5.902197632904374210e-07
4.766601797392966411e-06 1.990460055284750451e+00 5.902114645511358882e-43 5.902114645511359160e-07
6.952294834730587958e-06 1.990432116319410527e+00 5.902031800856388834e-43 5.902031800856389208e-07
9.371792201257056476e-06 1.990404225456185339e+00 5.901949098833868082e-43 5.901949098833867933e-07
1.200382108554332028e-05 1.990376382659482468e+00 5.901866539338260660e-43 5.901866539338261382e-07
1.483197280428838472e-05 1.990348587893731258e+00 5.901784122264091138e-43 5.901784122264091719e-07
1.784307842879473416e-05 1.990320841123383699e+00 5.901701847505951793e-43 5.901701847505952046e-07
2.102625800372293075e-05 1.990293142312912877e+00 5.901619714958499423e-43 5.901619714958500051e-07
2.437232097318720037e-05 1.990265491426811417e+00 5.901537724516446583e-43 5.901537724516446363e-07
2.787336642495752415e-05 1.990237888429592372e+00 5.901455876074567960e-43 5.901455876074568315e-07
3.152250474797169133e-05 1.990210333285794553e+00 5.901374169527713912e-43 5.901374169527714177e-07
3.531365696542165811e-05 1.990182825959972757e+00 5.901292604770782589e-43 5.901292604770783042e-07
3.924140587259483670e-05 1.990155366416703764e+00 5.901211181698735070e-43 5.901211181698735414e-07
4.330088293223732787e-05 1.990127954620590112e+00 5.901129900206613679e-43 5.901129900206614381e-07
4.748768057395713615e-05 1.990100590536249436e+00 5.901048760189501367e-43 5.901048760189501148e-07
5.179778299170545441e-05 1.990073274128323577e+00 5.900967761542553568e-43 5.900967761542554213e-07
5.622751070025189257e-05 1.990046005361475467e+00 5.900886904160988645e-43 5.900886904160989246e-07
6.077347551722289687e-05 1.990018784200388469e+00 5.900806187940086295e-43 5.900806187940086506e-07
6.543254357511962827e-05 1.989991610609764594e+00 5.900725612775181174e-43 5.900725612775181309e-07
7.020180460856617621e-05 1.989964484554332724e+00 5.900645178561686800e-43 5.900645178561687319e-07
7.507854620934784062e-05 1.989937405998836839e+00 5.900564885195060498e-43 5.900564885195060553e-07
8.006023206036383399e-05 1.989910374908045565e+00 5.900484732570837655e-43 5.900484732570837499e-07
8.514448339032310020e-05 1.989883391246746625e+00 5.900404720584603843e-43 5.900404720584604403e-07
