# z	ratio	Geff/GN	alpha_B
5.000000000000000278e-02 9.965243254171474163e-01 9.930607311481006727e-01 1.375969169025414718e-01
5.290581162324649311e-02 9.967110283278924898e-01 9.934328739904448868e-01 1.380181480739757494e-01
5.581162324649299039e-02 9.968953071222254048e-01 9.938002533623161439e-01 1.384342582072069505e-01
5.871743486973948073e-02 9.970771802303806108e-01 9.941629033361668588e-01 1.388452757559501261e-01
6.162324649298597801e-02 9.972566661424963064e-01 9.945208581656463931e-01 1.392512295905589947e-01
6.452905811623246835e-02 9.974337833970581269e-01 9.948741522617694510e-01 1.396521489693408058e-01
6.743486973947895868e-02 9.976085505698638611e-01 9.952228201701046606e-01 1.400480635109082883e-01
7.034068136272544902e-02 9.977809862635003135e-01 9.955668965489633537e-01 1.404390031675462891e-01
7.324649298597193936e-02 9.979511090973057774e-01 9.959064161485426947e-01 1.408249981995598199e-01
7.615230460921844358e-02 9.981189376978045757e-01 9.962414137909938461e-01 1.412060791505746482e-01
7.905811623246493391e-02 9.982844906895996795e-01 9.965719243513934122e-01 1.415822768237707530e-01
8.196392785571142425e-02 9.984477866866984241e-01 9.968979827395668680e-01 1.419536222590067343e-01
8.486973947895791459e-02 9.986088442842622204e-01 9.972196238827498727e-01 1.423201467108203833e-01
8.777555110220441881e-02 9.987676820507646047e-01 9.975368827090572710e-01 1.426818816272819035e-01
9.068136272545090915e-02 9.989243185205356479e-01 9.978497941317165942e-01 1.430388586296529041e-01
9.358717434869739948e-02 9.990787721866890569e-01 9.981583930340621746e-01 1.433911094928599361e-01
9.649298597194388982e-02 9.992310614944073244e-01 9.984627142552400247e-01 1.437386661267268384e-01
9.939879759519038016e-02 9.993812048345794841e-01 9.987627925766157100e-01 1.440815605579697234e-01
1.023046092184368705e-01 9.995292205377704908e-01 9.990586627088430260e-01 1.444198249128927358e-01
1.052104208416833608e-01 9.996751268685160063e-01 9.993503592795835999e-01 1.447534914008132279e-01
1.081162324649298651e-01 9.998189420199287136e-01 9.996379168218495481e-01 1.450825922981555383e-01
1.110220440881763554e-01 9.999606840777792716e-01 9.999213697013002999e-01 1.454071598626039130e-01
1.139278557114228457e-01 1.000100370376038939e+00 1.000200750826290230e+00 1.457272248521710445e-01
1.168336673346693361e-01 1.000238018635203119e+00 1.000476093923276855e+00 1.460428191275224552e-01
1.197394789579158264e-01 1.000373648225810319e+00 1.000747436064617357e+00 1.463539785515032832e-01
1.226452905811623306e-01 1.000507277106478465e+00 1.001014811543019745e+00 1.466607359665844657e-01
1.255511022044088210e-01 1.000638922944861786e+00 1.001278254112253130e+00 1.469631237574964555e-01
1.284569138276553113e-01 1.000768603424066816e+00 1.001537797599357127e+00 1.472611745507517444e-01
1.313627254509018016e-01 1.000896336232046435e+00 1.001793475882733819e+00 1.475549211874703781e-01
1.342685370741482920e-01 1.001022139051686466e+00 1.002045322871613964e+00 1.478443966976956681e-01
1.371743486973948101e-01 1.001146029551395200e+00 1.002293372486523060e+00 1.481296342758200435e-01
1.400801603206413004e-01 1.001268025376233384e+00 1.002537658640821450e+00 1.484106672571802454e-01
1.429859719438877907e-01 1.001388144139484737e+00 1.002778215223121494e+00 1.486875290956159168e-01
1.458917835671342811e-01 1.001506403414725188e+00 1.003015076080698176e+00 1.489602533421321706e-01
1.487975951903807714e-01 1.001622820728300667e+00 1.003248275003717493e+00 1.492288736244640757e-01
1.517034068136272618e-01 1.001737413552258316e+00 1.003477845710368133e+00 1.494934236276561357e-01
1.546092184368737521e-01 1.001850199297649180e+00 1.003703821832739429e+00 1.497539370754716048e-01
1.575150300601202424e-01 1.001961195308249675e+00 1.003926236903536440e+00 1.500104477127484626e-01
1.604208416833667328e-01 1.002070418854627665e+00 1.004145124343488904e+00 1.502629892885372909e-01
1.633266533066132231e-01 1.002177887128576250e+00 1.004360517449497392e+00 1.505115955400777583e-01
1.662324649298597135e-01 1.002283617237884839e+00 1.004572449383458910e+00 1.507563001775507339e-01
1.691382765531062038e-01 1.002387626201420634e+00 1.004780953161718893e+00 1.509971368695469107e-01
1.720440881763526941e-01 1.002489930944539864e+00 1.004986061645188222e+00 1.512341392293017617e-01
1.749498997995991845e-01 1.002590548294781003e+00 1.005187807530029565e+00 1.514673408015919931e-01
1.778557114228456748e-01 1.002689494977837992e+00 1.005386223338911700e+00 1.516967750502873913e-01
1.807615230460921651e-01 1.002786787613813013e+00 1.005581341412830509e+00 1.519224753465688582e-01
1.836673346693386555e-01 1.002882442713716848e+00 1.005773193903431562e+00 1.521444749577328948e-01
1.865731462925851458e-01 1.002976476675385697e+00 1.005961812764170515e+00 1.523628070346625396e-01
1.894789579158316362e-01 1.003068905975446956e+00 1.006147230134780024e+00 1.525775050547991396e-01
1.923847695390781820e-01 1.003159746927421825e+00 1.006329477855488985e+00 1.527886022578441583e-01
1.952905811623246723e-01 1.003249015561167967e+00 1.006508587224452578e+00 1.529961313622202335e-01
1.981963927855711627e-01 1.003336728397524080e+00 1.006684590551446989e+00 1.532001263633133437e-01
2.011022044088176530e-01 1.003422901425778946e+00 1.006857519105728516e+00 1.534006201538573311e-01
2.040080160320641434e-01 1.003507550520875036e+00 1.007027403952406530e+00 1.535976454903835164e-01
2.069138276553106337e-01 1.003590691513018607e+00 1.007194276091578855e+00 1.537912351525265453e-01
2.098196392785571240e-01 1.003672340181185341e+00 1.007358166444777048e+00 1.539814219254279359e-01
2.127254509018036144e-01 1.003752512246994133e+00 1.007519105842152207e+00 1.541682385829885593e-01
2.156312625250501047e-01 1.003831223368944370e+00 1.007677125010391528e+00 1.543517178719667204e-01
2.185370741482965951e-01 1.003908489136986049e+00 1.007832254561306096e+00 1.545318924968499541e-01
2.214428857715430854e-01 1.003984325067422745e+00 1.007984524981088370e+00 1.547087951055066968e-01
2.243486973947895757e-01 1.004058746598119667e+00 1.008133966620187172e+00 1.548824582755563006e-01
2.272545090180360661e-01 1.004131769084013470e+00 1.008280609683790630e+00 1.550529145014513110e-01
2.301603206412825564e-01 1.004203407792902514e+00 1.008424484222878448e+00 1.552201961822266552e-01
2.330661322645290467e-01 1.004273677901510897e+00 1.008565620125827733e+00 1.553843356099070816e-01
2.359719438877755371e-01 1.004342594491810958e+00 1.008704047110542179e+00 1.555453649585265552e-01
2.388777555110220274e-01 1.004410172547592461e+00 1.008839794717084404e+00 1.557033162737539445e-01
2.417835671342685178e-01 1.004476426951270041e+00 1.008972892300790125e+00 1.558582214630863938e-01
2.446893787575150081e-01 1.004541372480913131e+00 1.009103369025836638e+00 1.560101122865921730e-01
2.475951903807614984e-01 1.004605023807495501e+00 1.009231253859258493e+00 1.561590203481908190e-01
2.505010020040079888e-01 1.004667395492350845e+00 1.009356575565383718e+00 1.563049770874385402e-01
2.534068136272545346e-01 1.004728501984815336e+00 1.009479362700651084e+00 1.564480137717803865e-01
2.563126252505010250e-01 1.004788357620069794e+00 1.009599643608837249e+00 1.565881614892985496e-01
2.592184368737475153e-01 1.004846976617150389e+00 1.009717446416628084e+00 1.567254511418831597e-01
2.621242484969940056e-01 1.004904373077137647e+00 1.009832799029555028e+00 1.568599134388505012e-01
2.650300601202404960e-01 1.004960560981499329e+00 1.009945729128249869e+00 1.569915788909569121e-01
2.679358717434869863e-01 1.005015554190591853e+00 1.010056264165022366e+00 1.571204778048115869e-01
2.708416833667334767e-01 1.005069366442155721e+00 1.010164431360436321e+00 1.572466402773088356e-01
2.737474949899799670e-01 1.005122011419211869e+00 1.010270257839402275e+00 1.573700963528648911e-01
2.766533066132264573e-01 1.005173503514241951e+00 1.010373772167095785e+00 1.574908778143342958e-01
2.795591182364729477e-01 1.005223856289286566e+00 1.010475001253104299e+00 1.576090145700280998e-01
2.824649298597194380e-01 1.005273082870888901e+00 1.010573971144741012e+00 1.577245355767533941e-01
2.853707414829659283e-01 1.005321196393379024e+00 1.010670707917814992e+00 1.578374698777334773e-01
2.882765531062124187e-01 1.005368210063771306e+00 1.010765237806831474e+00 1.579478467535103126e-01
2.911823647294589090e-01 1.005414137013701081e+00 1.010857586907005334e+00 1.580556953729168324e-01
2.940881763527053994e-01 1.005458990295684529e+00 1.010947781166417370e+00 1.581610447826317101e-01
2.969939879759518897e-01 1.005502782880160373e+00 1.011035846379746861e+00 1.582639238985877606e-01
2.998997995991983800e-01 1.005545527652746740e+00 1.011121808182440907e+00 1.583643614979059477e-01
3.028056112224448704e-01 1.005587237411668333e+00 1.011205692045231030e+00 1.584623862112498616e-01
3.057114228456913607e-01 1.005627924865376333e+00 1.011287523269043032e+00 1.585580265156537327e-01
3.086172344689378511e-01 1.005667602630327062e+00 1.011367326980229464e+00 1.586513107277502665e-01
3.115230460921843414e-01 1.005706283228929632e+00 1.011445128126148063e+00 1.587422669974101752e-01
3.144288577154308317e-01 1.005743979087649009e+00 1.011520951471057472e+00 1.588309233017815292e-01
3.173346693386773221e-01 1.005780702535251203e+00 1.011594821592303406e+00 1.589173074396785790e-01
3.202404809619238124e-01 1.005816465801199877e+00 1.011666762876816339e+00 1.590014470263566293e-01
3.231462925851703027e-01 1.005851281014177978e+00 1.011736799517862773e+00 1.590833694886037708e-01
3.260521042084167931e-01 1.005885160200747031e+00 1.011804955512082493e+00 1.591631020601823876e-01
3.289579158316632834e-01 1.005918115284121894e+00 1.011871254656759866e+00 1.592406717775689262e-01
3.318637274549098293e-01 1.005950158083072310e+00 1.011935720547358253e+00 1.593161054760167672e-01
3.347695390781563196e-01 1.005981300310923254e+00 1.011998376575256042e+00 1.593894297858771958e-01
3.376753507014028099e-01 1.006011553574675199e+00 1.012059245925731599e+00 1.594606711292313739e-01
3.405811623246493003e-01 1.006040929374218962e+00 1.012118351576142272e+00 1.595298557167686149e-01
3.434869739478957906e-01 1.006069439101646479e+00 1.012175716294301475e+00 1.595970095449160409e-01
3.463927855711422810e-01 1.006097094040659945e+00 1.012231362637060483e+00 1.596621583932316679e-01
3.492985971943887713e-01 1.006123905366060667e+00 1.012285312949053884e+00 1.597253278220028549e-01
3.522044088176352616e-01 1.006149884143329620e+00 1.012337589361635537e+00 1.597865431700928873e-01
3.551102204408817520e-01 1.006175041328281727e+00 1.012388213791969527e+00 1.598458295529867623e-01
3.580160320641282423e-01 1.006199387766796072e+00 1.012437207942275208e+00 1.599032118610379805e-01
3.609218436873747327e-01 1.006222934194624719e+00 1.012484593299240121e+00 1.599587147579293323e-01
3.638276553106212230e-01 1.006245691237257933e+00 1.012530391133547036e+00 1.600123626792916975e-01
3.667334669338677133e-01 1.006267669409854459e+00 1.012574622499540222e+00 1.600641798314983988e-01
3.696392785571142037e-01 1.006288879117523516e+00 1.012617308235601810e+00 1.601141901913185339e-01
3.725450901803606940e-01 1.006309330961920878e+00 1.012658469581028786e+00 1.601624182279510755e-01
3.754509018036071843e-01 1.006329036223419626e+00 1.012698129146356596e+00 1.602088900395674809e-01
3.783567134268536747e-01 1.006348004755472259e+00 1.012736306675320108e+00 1.602536283866768108e-01
