# z	H	phi	psi
5.359815003314424331e+01 1.023415387171841115e+08 0.000000000000000000e+00 1.000000000000000021e-08
5.348900834032313156e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.338008482172776326e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.327137904122795220e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.316289056356524867e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.305461895435129094e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.294656378006615682e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.283872460805640969e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.273110100653351395e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.262369254457215817e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.251649879210837923e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.240951931993788548e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.230275369971447930e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.219620150394810310e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.208986230600331879e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.198373568009748169e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.187782120129918439e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.177211844552635256e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.166662698954468169e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.156134641096596027e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.145627628824629340e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.135141620068441881e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.124676572842012234e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.114232445243246161e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.103809195453806780e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.093406781738962508e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.083025162447401613e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.072664296011073048e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.062324140945028006e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.052004655847235171e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.041705799398433641e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.031427530361958844e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.021169807583575562e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.010932589991315922e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
5.000715836595319530e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.990519506487660806e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.980343558842186269e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.970187952914361773e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.960052648041094869e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.949937603640581330e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.939842779212137458e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.929768134336047325e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.919713628673384420e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.909679221965865992e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.899664874035686069e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.889670544785349904e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.879696194197517656e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.869741782334851621e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.859807269339840730e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.849892615434649201e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.839997780920965909e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.830122726179826742e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.820267411671468238e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.810431797935171971e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.800615845589095443e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.790819515330122158e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.781042767933706017e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.771285564253707889e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.761547865222237874e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.751829631849511770e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.742130825223679835e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.732451406510675440e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
