# z	H_screen	phi	psi	H_target
5.359815003314424331e+01 2.216155402149473446e+02 0.000000000000000000e+00 1.000000000000000036e-10 2.216155402149473730e+02
5.352537676830647229e+01 2.216155402149473446e+02 1.400914983514594173e-14 -1.129195794871838965e-08 2.211702862620446979e+02
5.345270050214125490e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.207259299505092258e+02
5.338012110536007526e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.202824694607127753e+02
5.330763844884683067e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.198399029767491299e+02
5.323525240365752609e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.193982286864260232e+02
5.316296284102001835e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.189574447812569815e+02
5.309076963233373192e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.185175494564536507e+02
5.301867264916960210e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.180785409109187185e+02
5.294667176326969127e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.176404173472379000e+02
5.287476684654705394e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.172031769716723204e+02
5.280295777108540278e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.167668179941506708e+02
5.273124440913900912e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.163313386282620456e+02
5.265962663313240455e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.158967370912481272e+02
5.258810431566016774e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.154630116039957386e+02
5.251667732948664025e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.150301603910287440e+02
5.244534554754581990e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.145981816805013693e+02
5.237410884294108371e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.141670737041903863e+02
5.230296708894485391e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.137368346974867848e+02
5.223192015899855534e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.133074628993896908e+02
5.216096792671226012e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.128789565524977547e+02
5.209011026586453852e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.124513139030023865e+02
5.201934705040213913e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.120245332006797128e+02
5.194867815443987524e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.115986126988836418e+02
5.187810345226034059e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.111735506545383600e+02
5.180762281831371041e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.107493453281308007e+02
5.173723612721745013e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.103259949837031115e+02
5.166694325375620878e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.099034978888458056e+02
5.159674407288149922e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.094818523146898315e+02
5.152663845971154899e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.090610565358998940e+02
5.145662628953094497e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.086411088306660417e+02
5.138670743779061922e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.082220074806978118e+02
5.131688178010745816e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.078037507712158174e+02
5.124714919226413201e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.073863369909448977e+02
5.117750955020888171e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.069697644321067855e+02
5.110796273005530566e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.065540313904129448e+02
5.103850860808217504e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.061391361650576357e+02
5.096914706073305723e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.057250770587096156e+02
5.089987796461628733e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.053118523775062556e+02
5.083070119650466268e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.048994604310456964e+02
5.076161663333522256e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.044878995323797994e+02
5.069262415220899243e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.040771679980067006e+02
5.062372363039087020e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.036672641478643300e+02
5.055491494530930652e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.032581863053226527e+02
5.048619797455618396e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.028499327971771891e+02
5.041757259588644047e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.024425019536409422e+02
5.034903868721803377e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.020358921083384587e+02
5.028059612663163591e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.016301015982981824e+02
5.021224479237037741e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.012251287639451789e+02
5.014398456283971939e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.008209719490946839e+02
5.007581531660718355e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.004176295009446562e+02
5.000773693240218165e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 2.000150997700693267e+02
4.993974928911566735e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.996133811104109839e+02
4.987185226580012198e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.992124718792745739e+02
4.980404574166918508e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.988123704373197711e+02
4.973632959609753357e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.984130751485542987e+02
4.966870370862054074e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.980145843803266530e+02
